CRI_LATITUDE,CRI_LONGITUDE,CRI_HORARIO,CRI_ENDERECO
-3.82085769284317,-38.5088610649109,18,"Av. Cap. Waldemar Paula Lima"
-3.84455821003261,-38.5253190994263,21,"Travessa José Linhares"
-3.71290185763798,-38.4652161598206,22,"R. Murilo Borges"
-3.72804045976462,-38.5773539543152,23,"R. Augusta Andrade"
-3.74266491560088,-38.5561752319336,16,"R. Dom Lino"
-3.74928117050453,-38.4899353981018,21,"R. Isabel Bezerra"
-3.73604861071891,-38.484377861023,17,"R. Prof. Silva Ribeiro"
-3.73253702410184,-38.5273468494415,14,"R. da Assunção"
-3.74093054924808,-38.4734344482422,20,"R. Juiz Renato Silva"
-3.79856961717018,-38.4894526004791,13,"R. Maximino Linhares"
-3.79967225887613,-38.4895813465118,10,"R. Visc. Barbacena"
-3.73146641563245,-38.4815669059753,18,"Av. Antônio Justa"
-3.72851152948821,-38.5532999038696,14,"R. Penaforte"
-3.79036934438796,-38.5415410995483,8,"R. Caramuru"
-3.76309163824329,-38.5837912559509,8,"R. Noel Rosa"
-3.76456902416794,-38.5102558135986,19,"R. Alecrim"
-3.72337257341422,-38.4890556335449,19,"Av. Pres. John Kennedy"
-3.72225912897654,-38.5511541366577,6,"R. Mário Studart"
-3.78377481273311,-38.5044622421265,21,"R. do Marfim"
-3.8192519430177,-38.5974812507629,20,"R. Tulipa Negra"
-3.73041721806662,-38.4954929351807,14,"R. Canuto de Aguiar"
-3.80719801849459,-38.5847139358521,12,"Travessa Waldir Diogo"
-3.7443992785194,-38.4961366653442,20,"R. Sen. Virgílio Távora"
-3.72906824792705,-38.6039185523987,21,"R. dos Amores"
-3.76257776429081,-38.5756802558899,18,"R. Prof. Edgard Arruda"
-3.7210814458279,-38.5165643692017,18,"R. Itapipoca"
-3.71091048045046,-38.5576558113098,23,"R. Lucas Pinto"
-3.81963732324984,-38.5572052001953,19,"Av. Expedicionários"
-3.70804117639466,-38.5557675361633,18,"R. Santa Elisa"
-3.75249292668402,-38.519868850708,9,"R. José Euclydes"
-3.80003623738232,-38.5346961021423,9,"R. Itarema"
-3.73315797641613,-38.4758484363556,18,"R. Paschoal de Castro Alves"
-3.83685079685823,-38.5386657714844,11,"R. Oscarito"
-3.7541416236036,-38.4994518756866,17,"R. Vicente Leite"
-3.79832339601428,-38.4934008121491,9,"R. Manoel Ribeiro"
-3.78542345035624,-38.5231733322143,14,"R. João Fonseca"
-3.78687938746556,-38.5256195068359,2,"R. B"
-3.7406521938347,-38.5396528244019,21,"Av. João Pessoa"
-3.80096759344884,-38.4940874576569,19,"Av. Viena Weyne"
-3.74991281681878,-38.5076379776001,0,"R. Tibúrcio Cavalcante"
-3.71735567422774,-38.5831475257874,2,"R. Antonieta Clotilde"
-3.72356528480858,-38.5650587081909,5,"R. Dr. Atualpa"
-3.72823317013659,-38.5472917556763,7,"R. Henrique Autran"
-3.7224732530162,-38.518431186676,11,"R. Sen. Almino"
-3.80512121515183,-38.5848641395569,11,"R. Padre Rodolfo"
-3.75566184787485,-38.5442876815796,12,"R. Samuel Uchôa"
-3.77334764242379,-38.4743356704712,21,"R. Octávio Rocha"
-3.72371517141946,-38.5621190071106,9,"R. Maj. Veríssimo"
-3.78550909378338,-38.5786843299866,12,"R. Costa Freire"
-3.72951790487028,-38.5113072395325,12,"R. Pereira Filgueiras"
-3.74097337314998,-38.4775543212891,14,"R. Pereira de Miranda"
-3.82931459229728,-38.5149550437927,15,"R. Quinhentos E Sete"
-3.75296398326433,-38.4969842433929,19,"R. Santa Esmeralda"
-3.75297468909274,-38.4969627857208,16,"R. Edmundo B Oliveira"
-3.74652440370739,-38.4901177883148,12,"R. Gen. Tertuliano Potiguara"
-3.73006926961766,-38.4847372770309,14,"R. Cel. Manoel Jesuíno"
-3.83323257057077,-38.5102128982544,11,"R. Francisco Alves Ribeiro"
-3.73446411605772,-38.4933042526245,7,"R. Cel. Linhares"
-3.72191653040479,-38.5194611549378,21,"R. Dragão do Mar"
